体育台,#genre#
CBA经典,http://120.77.28.4:8648/mgu.php?id=cbajd
NBA经典,http://120.77.28.4:8648/mgu.php?id=nbajd
UFC格斗精选,http://120.77.28.4:8648/mgu.php?id=ufcgdjx
五大联赛经典,http://120.77.28.4:8648/mgu.php?id=wdlsjd
CCTV-央视台球,http://xuys.top:8888/udp/225.1.2.170:5002
武术世界,http://xuys.top:8888/udp/225.1.2.129:5002
风云足球,http://111.170.104.155:9999/udp/239.69.1.81:10126
智林体育台,https://litv.zapi.us.kg/?id=4gtv-4gtv101
CCTV-高尔夫网球,http://xuys.top:8888/udp/225.1.2.169:5002
CCTV5+-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.18:4056
CCTV5+[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.101:4056
CCTV5-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.6:4056
CCTV5体育[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.133:4056
红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8#http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
美国摔跤,https://d2p372oxiwmcn1.cloudfront.net/hls/main.m3u8
港澳台,#genre#
VOA美国之音,https://voa-ingest.akamaized.net/hls/live/2033878/tvmc08/playlist.m3u8
闽镜新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv075
东森新闻,https://litv.zapi.us.kg/?id=4gtv-4gtv152
寰宇新闻台,https://litv.zapi.us.kg/?id=litv-longturn14
tvbs新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv072
中天新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv009
非凡新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv010
华视新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv052
中视新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv074
台视新闻,https://litv.zapi.us.kg/?id=4gtv-4gtv051
民视新闻台,https://litv.zapi.us.kg/?id=litv-ftv13
猪哥亮歌厅秀,https://litv.zapi.us.kg/?id=4gtv-4gtv006
国会频道1,https://litv.zapi.us.kg/?id=4gtv-4gtv084
国会频道2,https://litv.zapi.us.kg/?id=4gtv-4gtv085
WU TANG 功夫电影,https://stream-us-east-1.getpublica.com/playlist.m3u8?network_id=42
悟道法师讲经,https://tw3.amtb.de/liveedge/_definst_/wdmaster/playlist.m3u8
唯心電視,https://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
佛卫慈悲,http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8
网络念佛堂,https://tw3.amtb.de/liveedge/_definst_/amtb/playlist.m3u8
创世电视,https://cdn.deepcore.online/hlsme/ctv_hk_1080.m3u8
人間衛視,https://epg.pw/stream/b477995b160cdb9c7e4073eb76a5e241dfe20bcfee9faf4528af9377a53bf6c5.m3u8
点亮生命电视台,https://brightstar-chinese-pull-secure.akamaized.net/brightstarchinese/stream_1250_20240324T104339.m3u8
大爱1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱2台,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
好消息综合台,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8
好消息电视台1,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8
好消息电视台2,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
亚洲卫视,https://p2hs.vzan.com/slowlive/821481626725612417/live.m3u8?zbid=2046370057&tpid=330913109&type=0
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8
客家电视台,https://litv.zapi.us.kg/?id=4gtv-4gtv043
翡翠台,http://grandprix2023.asuscomm.com:8889/bysid/1
ViuTVsix,http://grandprix2023.asuscomm.com:8889/bysid/96
ViuTV,http://grandprix2023.asuscomm.com:8889/bysid/99
Jelli,http://grandprix2023.asuscomm.com:8890/bysid/16
明珠台,http://grandprix2023.asuscomm.com:8892/bysid/2
TVB Plus,http://grandprix2023.asuscomm.com:8892/bysid/82
無綫新聞台,http://grandprix2023.asuscomm.com:8892/bysid/83
鳳凰香港,http://grandprix2023.asuscomm.com:8892/bysid/85
ChannelV,http://vl15191373.imwork.net:8880/udp/239.93.1.7:2194
无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
无线华丽台,http://php.jdshipin.com:8880/smt.php?id=Wlt
无线Plus台,http://php.jdshipin.com:8880/smt.php?id=j2_twn
无线明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
VIUTV台粤,http://php.jdshipin.com:8880/smt.php?id=viu1_twn
无线星河国,http://php.jdshipin.com:8880/smt.php?id=Xinhe
TVB 翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
TVB 华丽台,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
TVB 华丽台,http://php.jdshipin.com:8880/smt.php?id=Wlt
TVB 明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
TVB Plus,http://php.jdshipin.com:8880/smt.php?id=j2_twn
Astro AOD,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod
千禧经典台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
RTHK31,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk31
欧洲华文教育,http://hatu-video.oss-cn-hangzhou.aliyuncs.com/live-stream/20111114W.m3u8
港集专线直播,https://ha.jmied.com/aa/aa.flv?auth_key=1661958232-0-0-3d9174957759709f8b53448167c0b6f6
亚洲武侠,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
金马影院,https://pull.kktv8.com/livekktv/128600025.flv?_t=0.03302458679376152
星光视界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
经典功夫台,http://cfss.cc/cdn/yy/1355002394.flv
经典电影台,http://cfss.cc/cdn/yy/1355260662.flv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
无线星河粤,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
无线功夫台,https://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
TVB娱乐新闻台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVB无线新闻台,http://zsntlqj.xicp.net:8896/bysid/83
TVB无线财经体育资讯,https://ha.jmied.com/aa/aa.flv?auth_key=1661958232-0-0-3d9174957759709f8b53448167c0b6f6
鳳凰香港,https://epg.pw/stream/b3ab43b2415df405226d5b25f38e51432ca7d32b5a240e0aa1f3e201d181442f.m3u8
重温经典,http://mtw.so/5NPX0U
Bread_TV面包台_(720p),https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
TVBS,http://154.216.191.38:8500/live.m3u8?c=1
